run,tag,iteration,episode_return
2026-07-25_19-13-51,rewards/iter,131,245.66329956054688
2026-07-25_19-13-51,rewards/iter,132,247.16424560546875
2026-07-25_19-13-51,rewards/iter,133,248.0812225341797
2026-07-25_19-13-51,rewards/iter,134,248.0812225341797
2026-07-25_19-13-51,rewards/iter,135,248.5657501220703
2026-07-25_19-13-51,rewards/iter,136,249.0269012451172
2026-07-25_19-13-51,rewards/iter,137,249.0269012451172
2026-07-25_19-13-51,rewards/iter,138,249.916015625
2026-07-25_19-13-51,rewards/iter,139,249.916015625
2026-07-25_19-13-51,rewards/iter,140,252.21681213378906
2026-07-25_19-13-51,rewards/iter,141,254.1768341064453
2026-07-25_19-13-51,rewards/iter,142,254.60499572753906
2026-07-25_19-13-51,rewards/iter,143,255.03208923339844
2026-07-25_19-13-51,rewards/iter,144,255.40745544433594
2026-07-25_19-13-51,rewards/iter,145,255.40745544433594
2026-07-25_19-13-51,rewards/iter,146,255.79263305664062
2026-07-25_19-13-51,rewards/iter,147,256.62335205078125
2026-07-25_19-13-51,rewards/iter,148,256.62335205078125
2026-07-25_19-15-27,rewards/iter,1,-2.7988390922546387
2026-07-25_19-15-27,rewards/iter,2,3.8656928539276123
2026-07-25_19-15-27,rewards/iter,3,4.394032955169678
2026-07-25_19-15-27,rewards/iter,4,5.578217029571533
2026-07-25_19-15-27,rewards/iter,5,5.301323890686035
2026-07-25_19-15-27,rewards/iter,6,6.892444610595703
2026-07-25_19-15-27,rewards/iter,7,7.28396463394165
2026-07-25_19-15-27,rewards/iter,8,8.540766716003418
2026-07-25_19-15-27,rewards/iter,9,8.706490516662598
2026-07-25_19-15-27,rewards/iter,10,9.397406578063965
2026-07-25_19-15-27,rewards/iter,11,10.100029945373535
2026-07-25_19-15-27,rewards/iter,12,9.863718032836914
2026-07-25_19-15-27,rewards/iter,13,10.870965003967285
2026-07-25_19-15-27,rewards/iter,14,11.899558067321777
2026-07-25_19-15-27,rewards/iter,15,12.022395133972168
2026-07-25_19-15-27,rewards/iter,16,15.30553913116455
2026-07-25_19-15-27,rewards/iter,17,16.5768985748291
2026-07-25_19-15-27,rewards/iter,18,17.75492286682129
2026-07-25_19-15-27,rewards/iter,19,18.120542526245117
2026-07-25_19-15-27,rewards/iter,20,20.012996673583984
2026-07-25_19-15-27,rewards/iter,21,21.096736907958984
2026-07-25_19-15-27,rewards/iter,22,21.579051971435547
2026-07-25_19-15-27,rewards/iter,23,25.951034545898438
2026-07-25_19-15-27,rewards/iter,24,31.11684226989746
2026-07-25_19-15-27,rewards/iter,25,33.59375
2026-07-25_19-15-27,rewards/iter,26,36.985191345214844
2026-07-25_19-15-27,rewards/iter,27,46.85779571533203
2026-07-25_19-15-27,rewards/iter,28,47.74651336669922
2026-07-25_19-15-27,rewards/iter,29,52.55194091796875
2026-07-25_19-15-27,rewards/iter,30,54.931453704833984
2026-07-25_19-15-27,rewards/iter,31,57.31039047241211
2026-07-25_19-15-27,rewards/iter,32,59.64780044555664
2026-07-25_19-15-27,rewards/iter,33,62.57659149169922
2026-07-25_19-15-27,rewards/iter,34,64.87965393066406
2026-07-25_19-15-27,rewards/iter,35,69.39360046386719
2026-07-25_19-15-27,rewards/iter,36,78.03515625
2026-07-25_19-15-27,rewards/iter,37,84.37747192382812
2026-07-25_19-15-27,rewards/iter,38,86.45526123046875
2026-07-25_19-15-27,rewards/iter,39,88.49243927001953
2026-07-25_19-15-27,rewards/iter,40,88.49243927001953
2026-07-25_19-15-27,rewards/iter,41,92.45035552978516
2026-07-25_19-15-27,rewards/iter,42,94.40872192382812
2026-07-25_19-15-27,rewards/iter,43,96.34306335449219
2026-07-25_19-15-27,rewards/iter,44,100.15101623535156
2026-07-25_19-15-27,rewards/iter,45,107.57669830322266
2026-07-25_19-15-27,rewards/iter,46,113.07157135009766
2026-07-25_19-15-27,rewards/iter,47,114.87991333007812
2026-07-25_19-15-27,rewards/iter,48,116.66167449951172
2026-07-25_19-15-27,rewards/iter,49,118.42467498779297
2026-07-25_19-15-27,rewards/iter,50,120.186767578125
2026-07-25_19-15-27,rewards/iter,51,120.60899353027344
2026-07-25_19-15-27,rewards/iter,52,124.04116821289062
2026-07-25_19-15-27,rewards/iter,53,126.57841491699219
2026-07-25_19-15-27,rewards/iter,54,128.26296997070312
2026-07-25_19-15-27,rewards/iter,55,136.38999938964844
2026-07-25_19-15-27,rewards/iter,56,135.08395385742188
2026-07-25_19-15-27,rewards/iter,57,133.18679809570312
2026-07-25_19-15-27,rewards/iter,58,134.80189514160156
2026-07-25_19-15-27,rewards/iter,59,134.23190307617188
2026-07-25_19-15-27,rewards/iter,60,135.84033203125
2026-07-25_19-15-27,rewards/iter,61,137.437255859375
2026-07-25_19-15-27,rewards/iter,62,137.437255859375
2026-07-25_19-15-27,rewards/iter,63,139.38720703125
2026-07-25_19-15-27,rewards/iter,64,140.95016479492188
2026-07-25_19-15-27,rewards/iter,65,148.41722106933594
2026-07-25_19-15-27,rewards/iter,66,154.11036682128906
2026-07-25_19-15-27,rewards/iter,67,155.50076293945312
2026-07-25_19-15-27,rewards/iter,68,156.84597778320312
2026-07-25_19-15-27,rewards/iter,69,158.20541381835938
2026-07-25_19-15-27,rewards/iter,70,158.20541381835938
2026-07-25_19-15-27,rewards/iter,71,159.5426483154297
2026-07-25_19-15-27,rewards/iter,72,160.8905029296875
2026-07-25_19-15-27,rewards/iter,73,163.5408172607422
2026-07-25_19-15-27,rewards/iter,74,168.71438598632812
2026-07-25_19-15-27,rewards/iter,75,172.47225952148438
2026-07-25_19-15-27,rewards/iter,76,174.88046264648438
2026-07-25_19-15-27,rewards/iter,77,177.2473602294922
2026-07-25_19-15-27,rewards/iter,78,177.2473602294922
2026-07-25_19-15-27,rewards/iter,79,178.4420928955078
2026-07-25_19-15-27,rewards/iter,80,179.62872314453125
2026-07-25_19-15-27,rewards/iter,81,180.80401611328125
2026-07-25_19-15-27,rewards/iter,82,181.8939971923828
2026-07-25_19-15-27,rewards/iter,83,183.0482940673828
2026-07-25_19-15-27,rewards/iter,84,188.47015380859375
2026-07-25_19-15-27,rewards/iter,85,192.75167846679688
2026-07-25_19-15-27,rewards/iter,86,193.7911834716797
2026-07-25_19-15-27,rewards/iter,87,194.8256072998047
2026-07-25_19-15-27,rewards/iter,88,195.84181213378906
2026-07-25_19-15-27,rewards/iter,89,196.73141479492188
2026-07-25_19-15-27,rewards/iter,90,196.73141479492188
2026-07-25_19-15-27,rewards/iter,91,198.65475463867188
2026-07-25_19-15-27,rewards/iter,92,199.63192749023438
2026-07-25_19-15-27,rewards/iter,93,204.13430786132812
2026-07-25_19-15-27,rewards/iter,94,207.6380157470703
2026-07-25_19-15-27,rewards/iter,95,208.52452087402344
2026-07-25_19-15-27,rewards/iter,96,209.4003143310547
2026-07-25_19-15-27,rewards/iter,97,210.2236328125
2026-07-25_19-15-27,rewards/iter,98,210.2236328125
2026-07-25_19-15-27,rewards/iter,99,210.98638916015625
2026-07-25_19-15-27,rewards/iter,100,211.79771423339844
2026-07-25_19-15-27,rewards/iter,101,213.44317626953125
2026-07-25_19-15-27,rewards/iter,102,215.84925842285156
2026-07-25_19-15-27,rewards/iter,103,218.86203002929688
2026-07-25_19-15-27,rewards/iter,104,218.54969787597656
2026-07-25_19-15-27,rewards/iter,105,220.0907440185547
2026-07-25_19-15-27,rewards/iter,106,220.0907440185547
2026-07-25_19-15-27,rewards/iter,107,220.84527587890625
2026-07-25_19-15-27,rewards/iter,108,221.6055450439453
2026-07-25_19-15-27,rewards/iter,109,222.3250274658203
2026-07-25_19-15-27,rewards/iter,110,223.0695037841797
2026-07-25_19-15-27,rewards/iter,111,223.0695037841797
2026-07-25_19-15-27,rewards/iter,112,226.56982421875
2026-07-25_19-15-27,rewards/iter,113,229.96685791015625
2026-07-25_19-15-27,rewards/iter,114,230.6375732421875
2026-07-25_19-15-27,rewards/iter,115,231.29603576660156
2026-07-25_19-15-27,rewards/iter,116,231.92327880859375
2026-07-25_19-15-27,rewards/iter,117,232.5418243408203
2026-07-25_19-15-27,rewards/iter,118,232.5418243408203
2026-07-25_19-15-27,rewards/iter,119,233.70704650878906
2026-07-25_19-15-27,rewards/iter,120,233.70704650878906
2026-07-25_19-15-27,rewards/iter,121,236.55087280273438
2026-07-25_19-15-27,rewards/iter,122,238.59765625
2026-07-25_19-15-27,rewards/iter,123,239.7503204345703
2026-07-25_19-15-27,rewards/iter,124,240.24526977539062
2026-07-25_19-15-27,rewards/iter,125,240.7476348876953
2026-07-25_19-15-27,rewards/iter,126,240.7476348876953
2026-07-25_19-15-27,rewards/iter,127,241.1912841796875
2026-07-25_19-15-27,rewards/iter,128,241.75161743164062
2026-07-25_19-15-27,rewards/iter,129,242.30636596679688
2026-07-25_19-15-27,rewards/iter,130,243.27169799804688
2026-07-25_19-15-27,rewards/iter,131,245.66329956054688
2026-07-25_19-15-27,rewards/iter,132,247.16424560546875
2026-07-25_19-15-27,rewards/iter,133,248.0812225341797
2026-07-25_19-15-27,rewards/iter,134,248.0812225341797
2026-07-25_19-15-27,rewards/iter,135,248.5657501220703
2026-07-25_19-15-27,rewards/iter,136,249.0269012451172
2026-07-25_19-15-27,rewards/iter,137,249.0269012451172
2026-07-25_19-15-27,rewards/iter,138,249.916015625
2026-07-25_19-15-27,rewards/iter,139,249.916015625
2026-07-25_19-15-27,rewards/iter,140,252.21681213378906
2026-07-25_19-15-27,rewards/iter,141,254.1768341064453
2026-07-25_19-15-27,rewards/iter,142,254.60499572753906
2026-07-25_19-15-27,rewards/iter,143,255.03208923339844
2026-07-25_19-15-27,rewards/iter,144,255.40745544433594
2026-07-25_19-15-27,rewards/iter,145,255.40745544433594
2026-07-25_19-15-27,rewards/iter,146,255.79263305664062
2026-07-25_19-15-27,rewards/iter,147,256.62335205078125
2026-07-25_19-15-27,rewards/iter,148,256.62335205078125
2026-07-25_19-17-00,rewards/iter,1,-2.7988390922546387
2026-07-25_19-17-00,rewards/iter,2,3.8656928539276123
2026-07-25_19-17-00,rewards/iter,3,4.394032955169678
2026-07-25_19-17-00,rewards/iter,4,5.578217029571533
2026-07-25_19-17-00,rewards/iter,5,5.301323890686035
2026-07-25_19-17-00,rewards/iter,6,6.892444610595703
2026-07-25_19-17-00,rewards/iter,7,7.28396463394165
2026-07-25_19-17-00,rewards/iter,8,8.540766716003418
2026-07-25_19-17-00,rewards/iter,9,8.706490516662598
2026-07-25_19-17-00,rewards/iter,10,9.397406578063965
2026-07-25_19-17-00,rewards/iter,11,10.100029945373535
2026-07-25_19-17-00,rewards/iter,12,9.863718032836914
2026-07-25_19-17-00,rewards/iter,13,10.870965003967285
2026-07-25_19-17-00,rewards/iter,14,11.899558067321777
2026-07-25_19-17-00,rewards/iter,15,12.022395133972168
2026-07-25_19-17-00,rewards/iter,16,15.30553913116455
2026-07-25_19-17-00,rewards/iter,17,16.5768985748291
2026-07-25_19-17-00,rewards/iter,18,17.75492286682129
2026-07-25_19-17-00,rewards/iter,19,18.120542526245117
2026-07-25_19-17-00,rewards/iter,20,20.012996673583984
2026-07-25_19-17-00,rewards/iter,21,21.096736907958984
2026-07-25_19-17-00,rewards/iter,22,21.579051971435547
2026-07-25_19-17-00,rewards/iter,23,25.951034545898438
2026-07-25_19-17-00,rewards/iter,24,31.11684226989746
2026-07-25_19-17-00,rewards/iter,25,33.59375
2026-07-25_19-17-00,rewards/iter,26,36.985191345214844
2026-07-25_19-17-00,rewards/iter,27,46.85779571533203
2026-07-25_19-17-00,rewards/iter,28,47.74651336669922
2026-07-25_19-17-00,rewards/iter,29,52.55194091796875
2026-07-25_19-17-00,rewards/iter,30,54.931453704833984
2026-07-25_19-17-00,rewards/iter,31,57.31039047241211
2026-07-25_19-17-00,rewards/iter,32,59.64780044555664
2026-07-25_19-17-00,rewards/iter,33,62.57659149169922
2026-07-25_19-17-00,rewards/iter,34,64.87965393066406
2026-07-25_19-17-00,rewards/iter,35,69.39360046386719
2026-07-25_19-17-00,rewards/iter,36,78.03515625
2026-07-25_19-17-00,rewards/iter,37,84.37747192382812
2026-07-25_19-17-00,rewards/iter,38,86.45526123046875
2026-07-25_19-17-00,rewards/iter,39,88.49243927001953
2026-07-25_19-17-00,rewards/iter,40,88.49243927001953
2026-07-25_19-17-00,rewards/iter,41,92.45035552978516
2026-07-25_19-17-00,rewards/iter,42,94.40872192382812
2026-07-25_19-17-00,rewards/iter,43,96.34306335449219
2026-07-25_19-17-00,rewards/iter,44,100.15101623535156
2026-07-25_19-17-00,rewards/iter,45,107.57669830322266
2026-07-25_19-17-00,rewards/iter,46,113.07157135009766
2026-07-25_19-17-00,rewards/iter,47,114.87991333007812
2026-07-25_19-17-00,rewards/iter,48,116.66167449951172
2026-07-25_19-17-00,rewards/iter,49,118.42467498779297
2026-07-25_19-17-00,rewards/iter,50,120.186767578125
2026-07-25_19-17-00,rewards/iter,51,120.60899353027344
2026-07-25_19-17-00,rewards/iter,52,124.04116821289062
2026-07-25_19-17-00,rewards/iter,53,126.57841491699219
2026-07-25_19-17-00,rewards/iter,54,128.26296997070312
2026-07-25_19-17-00,rewards/iter,55,136.38999938964844
2026-07-25_19-17-00,rewards/iter,56,135.08395385742188
2026-07-25_19-17-00,rewards/iter,57,133.18679809570312
2026-07-25_19-17-00,rewards/iter,58,134.80189514160156
2026-07-25_19-17-00,rewards/iter,59,134.23190307617188
2026-07-25_19-17-00,rewards/iter,60,135.84033203125
2026-07-25_19-17-00,rewards/iter,61,137.437255859375
2026-07-25_19-17-00,rewards/iter,62,137.437255859375
2026-07-25_19-17-00,rewards/iter,63,139.38720703125
2026-07-25_19-17-00,rewards/iter,64,140.95016479492188
2026-07-25_19-17-00,rewards/iter,65,148.41722106933594
2026-07-25_19-17-00,rewards/iter,66,154.11036682128906
2026-07-25_19-17-00,rewards/iter,67,155.50076293945312
2026-07-25_19-17-00,rewards/iter,68,156.84597778320312
2026-07-25_19-17-00,rewards/iter,69,158.20541381835938
2026-07-25_19-17-00,rewards/iter,70,158.20541381835938
2026-07-25_19-17-00,rewards/iter,71,159.5426483154297
2026-07-25_19-17-00,rewards/iter,72,160.8905029296875
2026-07-25_19-17-00,rewards/iter,73,163.5408172607422
2026-07-25_19-17-00,rewards/iter,74,168.71438598632812
2026-07-25_19-17-00,rewards/iter,75,172.47225952148438
2026-07-25_19-17-00,rewards/iter,76,174.88046264648438
2026-07-25_19-17-00,rewards/iter,77,177.2473602294922
2026-07-25_19-17-00,rewards/iter,78,177.2473602294922
2026-07-25_19-17-00,rewards/iter,79,178.4420928955078
2026-07-25_19-17-00,rewards/iter,80,179.62872314453125
2026-07-25_19-17-00,rewards/iter,81,180.80401611328125
2026-07-25_19-17-00,rewards/iter,82,181.8939971923828
2026-07-25_19-17-00,rewards/iter,83,183.0482940673828
2026-07-25_19-17-00,rewards/iter,84,188.47015380859375
2026-07-25_19-17-00,rewards/iter,85,192.75167846679688
2026-07-25_19-17-00,rewards/iter,86,193.7911834716797
2026-07-25_19-17-00,rewards/iter,87,194.8256072998047
2026-07-25_19-17-00,rewards/iter,88,195.84181213378906
2026-07-25_19-17-00,rewards/iter,89,196.73141479492188
2026-07-25_19-17-00,rewards/iter,90,196.73141479492188
2026-07-25_19-17-00,rewards/iter,91,198.65475463867188
2026-07-25_19-17-00,rewards/iter,92,199.63192749023438
2026-07-25_19-17-00,rewards/iter,93,204.13430786132812
2026-07-25_19-17-00,rewards/iter,94,207.6380157470703
2026-07-25_19-17-00,rewards/iter,95,208.52452087402344
2026-07-25_19-17-00,rewards/iter,96,209.4003143310547
2026-07-25_19-17-00,rewards/iter,97,210.2236328125
2026-07-25_19-17-00,rewards/iter,98,210.2236328125
2026-07-25_19-17-00,rewards/iter,99,210.98638916015625
2026-07-25_19-17-00,rewards/iter,100,211.79771423339844
2026-07-25_19-17-00,rewards/iter,101,213.44317626953125
2026-07-25_19-17-00,rewards/iter,102,215.84925842285156
2026-07-25_19-17-00,rewards/iter,103,218.86203002929688
2026-07-25_19-17-00,rewards/iter,104,218.54969787597656
2026-07-25_19-17-00,rewards/iter,105,220.0907440185547
2026-07-25_19-17-00,rewards/iter,106,220.0907440185547
2026-07-25_19-17-00,rewards/iter,107,220.84527587890625
2026-07-25_19-17-00,rewards/iter,108,221.6055450439453
2026-07-25_19-17-00,rewards/iter,109,222.3250274658203
2026-07-25_19-17-00,rewards/iter,110,223.0695037841797
2026-07-25_19-17-00,rewards/iter,111,223.0695037841797
2026-07-25_19-17-00,rewards/iter,112,226.56982421875
2026-07-25_19-17-00,rewards/iter,113,229.96685791015625
2026-07-25_19-17-00,rewards/iter,114,230.6375732421875
2026-07-25_19-17-00,rewards/iter,115,231.29603576660156
2026-07-25_19-17-00,rewards/iter,116,231.92327880859375
2026-07-25_19-17-00,rewards/iter,117,232.5418243408203
2026-07-25_19-17-00,rewards/iter,118,232.5418243408203
2026-07-25_19-17-00,rewards/iter,119,233.70704650878906
2026-07-25_19-17-00,rewards/iter,120,233.70704650878906
2026-07-25_19-17-00,rewards/iter,121,236.55087280273438
2026-07-25_19-17-00,rewards/iter,122,238.59765625
2026-07-25_19-17-00,rewards/iter,123,239.7503204345703
2026-07-25_19-17-00,rewards/iter,124,240.24526977539062
2026-07-25_19-17-00,rewards/iter,125,240.7476348876953
2026-07-25_19-17-00,rewards/iter,126,240.7476348876953
2026-07-25_19-17-00,rewards/iter,127,241.1912841796875
2026-07-25_19-17-00,rewards/iter,128,241.75161743164062
2026-07-25_19-17-00,rewards/iter,129,242.30636596679688
2026-07-25_19-17-00,rewards/iter,130,243.27169799804688
2026-07-25_19-17-00,rewards/iter,131,245.66329956054688
2026-07-25_19-17-00,rewards/iter,132,247.16424560546875
2026-07-25_19-17-00,rewards/iter,133,248.0812225341797
2026-07-25_19-17-00,rewards/iter,134,248.0812225341797
2026-07-25_19-17-00,rewards/iter,135,248.5657501220703
2026-07-25_19-17-00,rewards/iter,136,249.0269012451172
2026-07-25_19-17-00,rewards/iter,137,249.0269012451172
2026-07-25_19-17-00,rewards/iter,138,249.916015625
2026-07-25_19-17-00,rewards/iter,139,249.916015625
2026-07-25_19-17-00,rewards/iter,140,252.21681213378906
2026-07-25_19-17-00,rewards/iter,141,254.1768341064453
2026-07-25_19-17-00,rewards/iter,142,254.60499572753906
2026-07-25_19-17-00,rewards/iter,143,255.03208923339844
2026-07-25_19-17-00,rewards/iter,144,255.40745544433594
2026-07-25_19-17-00,rewards/iter,145,255.40745544433594
2026-07-25_19-17-00,rewards/iter,146,255.79263305664062
2026-07-25_19-17-00,rewards/iter,147,256.62335205078125
2026-07-25_19-17-00,rewards/iter,148,256.62335205078125
